Insulin-like peptide receptor,K05087 
Putative uncharacterized protein,K21763
Putative ABC transporter substrate-binding protein YesO,nan
N-acetyltransferase MPR1,nan
Probable peptide ABC transporter ATP-binding protein y4tS,nan
Mite allergen Der f 3,K01312
Low-density lipoprotein receptor-related protein,K06233
Homeobox protein VENTX,K09320
Transmembrane protease serine 2,K09635
FAD-dependent monooxygenase CTB5,K00103
Putative uncharacterized protein,K18831
"Plasminogen activator inhibitor 2, macrophage",K04525
Cat eye syndrome critical region protein 2,nan
Glycolate permease GlcA,nan
Uncharacterized protein MT2089,K15376
Mannitol-specific cryptic phosphotransferase enzyme IIA component,nan
Transcriptional regulatory protein FlbD,nan
Putative uncharacterized protein,K14288
Bacterioferritin,nan
Homeobox protein ceh-30,K09360
Putative uncharacterized protein,K02213
Putative uncharacterized protein,K01772
Transmembrane protein 242,nan
Monacolin J acid methylbutanoyltransferase,nan
Retrovirus-related Pol polyprotein from transposon 412,nan
Lactaldehyde reductase,K11173
G2/mitotic-specific cyclin-1,K23469
UvrABC system protein A (Fragment),nan
Proline--tRNA ligase,nan
Major facilitator superfamily multidrug transporter FLU1,nan
Zinc finger protein ZFPM1 (Fragment),K09228
Putative uncharacterized protein,K07442
Rho-type GTPase-activating protein 1,K20653
Trypsin-7,K18769
Calcium-binding mitochondrial carrier protein Aralar1,K15105
Sex determination protein fruitless,K10492
ABC multidrug transporter mdr2,K05658
Uncharacterized protein C30D11.11,K07297
Lysophospholipid acyltransferase,K13517
Metal-response element-binding transcription factor 2,K11485
Axin,K02157
DegV domain-containing protein SCO2569,K01869
Cytochrome P450 4g1,K15001
Putative uncharacterized protein,K16340
Putative transposase InsQ for insertion sequence element IS609,K23951
Netrin receptor DCC,K22656
Ribitol 2-dehydrogenase,K11166
Esterase AAEL000016,nan
Blastula protease 10,K13047
Iron deficiency-induced protein A,nan
Nonribosomal peptide synthetase sidC,nan
Cysteine desulfurase IscS,K04487
Nitrogen fixation regulation protein FixK,nan
Potassium channel GORK,K04905
Siderophore transporter MYCGRDRAFT_70577,nan
UPF0325 protein ESA_03178,nan
Uncharacterized protein YeeJ,nan
NADP-dependent malic enzyme,nan
Phosphatidylinositol-binding clathrin assembly protein LAP,K20044
Repressible high-affinity phosphate permease,K06258
Serum paraoxonase/arylesterase 2,K01045
Efflux pump dotC,K23677
Putative uncharacterized protein,K02728
Farnesyl pyrophosphate synthase 2,K00787
Zinc transporter ZIP9,K14715
"PEP-dependent dihydroxyacetone kinase 2, phosphoryl donor subunit DhaM",nan
Unconventional myosin IC,K10356
Transposable element Tc3 transposase,K14320
Heavy metal-dependent transcription regulator 2,nan
Multidrug resistance-like ATP-binding protein MdlB,K05661
Cyclin-dependent kinase 9-B,K02211
Forkhead box protein O4,K09408
Putative uncharacterized protein,K18708
"Calcium uptake protein 1 homolog, mitochondrial",K22827
Actin-related protein 2/3 complex subunit 1A-A,K05757
Probable RNA-directed DNA polymerase from transposon X-element,K10408
GATA-binding factor C,K17895
Protein Jumonji,K11478
"Putative transferase At4g12130, mitochondrial",K22073
40S ribosomal protein S30,K02983
Putative uncharacterized protein,K16690
Exoribonuclease 2,K18681
Beta-lactamase,K17382
FACT complex subunit SPT16,nan
Uncharacterized protein in pepC 5'region (Fragment),nan
Putative serine protease 45,K01324
5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB,K01097
ABC transporter ATP-binding protein YxdL,K21396
Alpha-1-inhibitor 3,K03910
"Biotin synthase, mitochondrial",K01012
Probable salivary secreted peptide,nan
"Benzoate 1,2-dioxygenase electron transfer component",K00326
Putative uncharacterized protein,K18408
Putative ATP-dependent RNA helicase ucp12,K13026
Actin-interacting protein 1,K15542
Paired box protein Pax-2a,K15608
Archaeal glutamate synthase [NADPH],nan
Retrovirus-related Pol polyprotein from transposon TNT 1-94,K23222
Putative ABC transporter ATP-binding protein DR_2469,K02021
Retrovirus-related Pol polyprotein from transposon opus,K16573
Serine/threonine-protein kinase AFC1,K08832
Gluconate permease,K13190
Fucolectin-1,K06825
Calnexin,K08054
Zinc finger HIT domain-containing protein 2,K02888
Uncharacterized protein YagA,K13140
Transposable element Tcb2 transposase,K02605
FK506-binding protein 2,K09569
RNA polymerase II elongation factor ELL,K11417
Quinolinate synthase A,nan
Probable membrane transporter protein HI_0198,nan
Putative amidase AF_1954,K01426
Pericentrin,K16481
ATP-dependent DNA helicase PcrA,nan
Gamma-tubulin complex component 3,K16570
Uncharacterized TLC domain-containing protein C17A2.02c,nan
Potassium voltage-gated channel subfamily H member 1,K04950
Small-conductance mechanosensitive channel MscMJ,nan
Suppressor of lurcher protein 1,K14616
Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],K01518
Protein TsgA,nan
KICSTOR complex protein kaptin,K23295
Gastrulation defective protein 1 homolog,K14961
Putative uncharacterized protein,K14429
Ribosomal protein S12 methylthiotransferase RimO,K15865
Translocator protein,K23222
ABC transporter G family member STR,K05679
Putative uncharacterized protein,K02941
Multidrug transporter TPO1_2,K08146
Toxin YkfI,nan
Probable RNA-directed DNA polymerase from transposon BS,K22614
10 kDa chaperonin,K04078
High affinity nitrate transporter 2.5,K02575
"Zeaxanthin epoxidase, chloroplastic",nan
Nitrate transporter,K06068
Probable iron export ATP-binding protein FetA,K05658
Putative uncharacterized protein,K20017
Uncharacterized protein YciW,nan
Phospholipid phosphatase 5,K18693
Zinc finger CCCH domain-containing protein 15 homolog,nan
Putative uncharacterized protein,K20214
DNA repair and recombination protein RAD54B,K10877
Bifunctional protein PaaZ,K00139
AsmA family protein YhjG,nan
Plexin domain-containing protein 2,K10848
Telomere length regulator protein rif1,nan
Putative uncharacterized protein,K16744
Venom protease,K08664
Facilitated trehalose transporter Tret1-1,K08144
Phosphatidylinositol N-acetylglucosaminyltransferase GPI3 subunit,K03857
ESX-1 secretion system ATPase EccB1,nan
Histamine H1 receptor,K04149
Enterobactin synthase component B,K14007
P43 5S RNA-binding protein,K22402
"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",K02366
Meteorin,nan
DNA mismatch repair protein MutL,K06287
Kallikrein-1,K08664
Toll-like receptor 3,nan
1-carboxybiuret hydrolase subunit AtzE,K02433
"Acyl-coenzyme A oxidase 2, peroxisomal",K00232
Centromere-associated protein E,K11498
Potassium voltage-gated channel subfamily H member 2,K04910
Putative uncharacterized transposon-derived protein F52C9.6,K12852
Elongation of very long chain fatty acids protein 5,K12868
18 kDa antigen 2,nan
Polycomb group RING finger protein 3,K11488
50S ribosomal protein L7/L12,K06767
Protein xmas-2,nan
Kinesin-like protein KIF19,K10401
"GDP-mannose 4,6-dehydratase",K01711
Protein rax1,nan
Putative uncharacterized protein,K24260
Sodium/myo-inositol cotransporter 2,K14389
Probable cytochrome P450 6a13,K14999
Protein SSP120,K20371
S-inosyl-L-homocysteine hydrolase,K01251
Adenylate kinase 9,K18533
Transposon Ty3-I Gag-Pol polyprotein,K18663
Transmembrane protein 222,K20726
Arylphorin subunit beta,K01511
"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX",K14729
RNA N6-adenosine-methyltransferase mettl16,K11393
Probable sugar phosphate/phosphate translocator At4g32390,K15285
Peroxisomal membrane protein PEX30,nan
Transcriptional regulator BlaI,nan
Gluconokinase,K19583
ABC transporter B family member 13,K05658
Proton-coupled amino acid transporter-like protein pathetic,K20294
Hairy/enhancer-of-split related with YRPW motif protein 1,K09091
Aconitate hydratase A,nan
"Putative 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",K13700
Plexin domain-containing protein 2,nan
Coagulation factor IX,K01310
Oligopeptide transport ATP-binding protein AppD,nan
"Probable arginine--tRNA ligase, cytoplasmic",K01887
Glucosylglycerate phosphorylase,K01187
Adhesion G protein-coupled receptor L1,K04592
Transient receptor potential cation channel subfamily A member 1,K10325
Probable RNA-directed DNA polymerase from transposon BS,K01324
Thiamine biosynthesis bifunctional protein ThiEC,nan
Uncharacterized MFS-type transporter YcaD,nan
30S ribosomal protein S14 1,K02954
Uncharacterized transporter C4B3.13,K03327
Chaoptin,K05404
Putative NAD(P)H nitroreductase YdjA,nan
Protein transport protein sec13,K14004
Probable cytochrome P450 6a17,K14999
Sorting nexin mvp1,K17922
ABC transporter arginine-binding protein 1,nan
Membrane-bound lysozyme inhibitor of C-type lysozyme,nan
50S ribosomal protein L20,K02887
HTH-type transcriptional regulator YofA,nan
UPF0045 protein ECM15,nan
SH2 domain-containing adapter protein B,K23697
Serpin B7,K13963
Putative uncharacterized protein,K10326
Uncharacterized RING finger protein C32F12.07c,K10660
Sugar transporter ERD6-like 6,K08145
Dihydroanticapsin 7-dehydrogenase,K03331
Endoplasmic reticulum resident protein 44,K17264
Histidine protein methyltransferase 1 homolog,K23151
Aldose reductase-related protein 2,K00002
Factor arrest protein 11,nan
Calcitonin receptor,K04576
Putative uncharacterized protein,K16910
Y-box-binding protein 3,K09276
Kunitz-type serine protease inhibitor spermatin,K23623
KappaPI-actitoxin-Avd3e,K23624
CUGBP Elav-like family member 5,K13207
Neuronal acetylcholine receptor subunit alpha-4,K04807
NADH-quinone oxidoreductase subunit H,nan
Copia protein,K00671
Estradiol 17-beta-dehydrogenase 2,K00019
Pre-histone-like nucleoprotein,nan
Putative uncharacterized protein,K11793
Ovochymase-2,K01324
Short-chain dehydrogenase chyC,K11153
AMP deaminase,K01490
Gluconolactonase,K01053
Cubilin,K14938
Uncharacterized MFS-type transporter YdeG,nan
Homeobox protein vent1B,K09320
RNA-directed DNA polymerase from mobile element jockey,K08834
Putative D-/L-hydantoinase subunit B,K01469
La-related protein 1B,K18757
Aquaporin-5,K09884
NEDD4-binding protein 2-like 1,K15720
Rho guanine nucleotide exchange factor 25,K15048
IAA-amino acid hydrolase ILR1-like 2,nan
Putative uncharacterized protein,K08752
THAP domain-containing protein 1 A,K23203
"ADP,ATP carrier protein 1",nan
Oxidoreductase cicC,K00115
Trp operon repressor,nan
Transposase for insertion sequence element IS1081,nan
m7GpppX diphosphatase,K12584
Glycine betaine transporter OpuD,nan
Secretory carrier-associated membrane protein 5A,K19995
Probable autolysin PH,nan
Probable ABC transporter permease protein PH1215,nan
Putative uncharacterized protein,K10151
General stress protein 13,nan
Cyclic nucleotide-binding domain-containing protein 2,K19477
Hepatocyte growth factor activator,K08664
Gypsy retrotransposon integrase-like protein 1,K22128
Inactive peptidyl-prolyl cis-trans isomerase FKBP6,K09572
"SET domain-containing protein SmydA-8, isoform A",K11426
Blue-light-activated histidine kinase 1,nan
Putative uncharacterized protein,K02349
Leucine-rich repeat transmembrane protein FLRT1,K17256
Formate hydrogenlyase subunit 5,nan
Cytochrome P450 3A2,K14999
"ATP-dependent RNA helicase DEAH12, chloroplastic",K11968
Decaprenyl-diphosphate synthase subunit 2,K12505
DNA primase small subunit,K02684
CFA/I fimbrial subunit E,nan
Kunitz-type serine protease inhibitor conotoxin Cal9.1a,K23624
Putative uncharacterized protein,K09368
Ribosomal RNA small subunit methyltransferase A,K21440
DNA-binding protein HU-alpha,nan
Transportin-3,K15436
Putative proline--tRNA ligase YHR020W,K01881
Uncharacterized protein C1259.08,nan
Putative uncharacterized protein,K17606
Ubiquitin carboxyl-terminal hydrolase 2,K11833
Ribonuclease Z 1,K00784
ATP-dependent DNA helicase DDX11,K11273
Probable 3-hydroxyacyl-CoA dehydrogenase,K05607
Outer membrane protein,nan
m7GpppN-mRNA hydrolase,K12613
Cytochrome P450 monooxygenase aclB,K07439
"Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase 2",nan
Rho GTPase-activating protein 12,K20636
Probable RNA-directed RNA polymerase,nan
Serine/threonine-protein kinase TOR2,K07203
Galactan 5-O-arabinofuranosyltransferase,nan
Hydrogenase-2 operon protein HybA,nan
rRNA biogenesis protein rrp5,K14792
Putative uncharacterized protein,K15032
Dedicator of cytokinesis protein 11,K21852
"COA8 family protein CBG23705, mitochondrial",K23506
Probable murein peptide carboxypeptidase,nan
Putative allantoin permease,nan
Kin of IRRE-like protein 1,K17341
60S ribosomal protein L2,K02938
Skp1-related protein,K03094
Putative uncharacterized protein,K10891
Saccharopine dehydrogenase-like oxidoreductase,K23407
Orotate phosphoribosyltransferase,nan
Aldo-keto reductase family 1 member B1,K00555
"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",K01969
Ras-related protein Rab-22A,K07891
Nucleoid-associated protein Ent638_0951,nan
Cytochrome c oxidase subunit 2,nan
Putative uncharacterized protein,K18743
Leucine-rich repeats and immunoglobulin-like domains protein 1,K08119
Odorant receptor 13a,nan
Vascular endothelial growth factor receptor 2,K05096
23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,K19511
Glutamyl aminopeptidase,K09604
Opioid-binding protein/cell adhesion molecule homolog,K06767
Hca operon transcriptional activator HcaR,nan
Myb/SANT-like DNA-binding domain-containing protein 3,K22255
Rho GTPase-activating protein 190,K13709
Glutaredoxin-3,K03671
Pneumococcal vaccine antigen A homolog,nan
Endocuticle structural glycoprotein ABD-5,K15255
C-type lectin domain family 4 member G,K06563
UPF0235 protein C15orf40 homolog,K09131
"Solute carrier family 2, facilitated glucose transporter member 2",K07299
Probable ubiquitin carboxyl-terminal hydrolase 3,K11841
Leucine-rich repeat protein soc-2 homolog,K19613
Chaoptin,K05401
Probable signal peptidase complex subunit 2,K12947
Granzyme E,K01346
Putative uncharacterized protein,K09620
Heat shock protein homolog SSE1,K03283
Ervatamin-B,K01373
Ribonuclease T2-like,K01166
Aquaglycerol porin AQY3,K08771
Chitin deacetylase 1,nan
Kunitz-type serine protease inhibitor IX,K03909
GTP-binding protein 128up,K06944
UPF0039 protein sll0451,nan
"DNA-binding protein H-NS, plasmid",nan
tRNA-dihydrouridine(20/20a) synthase,K05545
Zinc finger protein 639,K22402
CSC1-like protein At1g32090,K21989
Transposon Ty3-G Gag-Pol polyprotein,K21754
"Probable phospholipid hydroperoxide glutathione peroxidase 6, mitochondrial",K10719
Low molecular 30 kDa lipoprotein PBMHPC-19,nan
Putative uncharacterized protein,K15216
